Place cells: 500    Grid cells: 1000
C    thresh    f_I    f_p    :    (spars1,cov1), (spars2,cov2),... 
0.330000    0.000001    1.000000    15.000000    :    [(0.332, 1.0)]
0.330000    0.000001    2.000000    15.000000    :    [(0.5, 1.0)]
0.330000    0.001000    3.000000    15.000000    :    [(0.614, 0.9916), (0.64, 0.9884), (0.658, 0.992)]
0.330000    0.001000    4.000000    15.000000    :    [(0.652, 0.9844), (0.678, 0.9848), (0.694, 0.9888)]
0.330000    0.000001    5.000000    15.000000    :    [(0.698, 0.98)]
0.330000    0.001000    5.000000    15.000000    :    [(0.696, 0.9868), (0.698, 0.9732), (0.722, 0.9824)]
0.330000    0.001000    6.000000    15.000000    :    [(0.724, 0.9604), (0.732, 0.9628), (0.738, 0.968)]
0.330000    0.010000    6.000000    15.000000    :    [(0.702, 0.9688)]
0.330000    0.001000    7.000000    15.000000    :    [(0.742, 0.9568), (0.754, 0.9328), (0.772, 0.9544)]
0.330000    0.010000    7.000000    15.000000    :    [(0.71, 0.968), (0.738, 0.9664), (0.762, 0.9632)]
0.330000    0.000001    8.000000    15.000000    :    [(0.77, 0.9308)]
0.330000    0.000001    9.000000    15.000000    :    [(0.798, 0.9352)]
0.330000    0.000001    10.000000    15.000000    :    [(0.792, 0.9356)]
