Place cells: 500    Grid cells: 1000
C    thresh    f_I    f_p    :    fit1, fit2,... 
0.330000    0.100000    6.000000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    4.500000    15.000000    :    [1.6711409395973154]
0.330000    1.000000    2.000000    15.000000    :    [1.6736656031732344]
0.330000    0.005000    6.000000    15.000000    :    [1.6711409395973154]
0.330000    0.100000    4.000000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    4.400000    15.000000    :    [1.6711409395973154]
0.330000    0.007000    5.000000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    9.000000    15.000000    :    [1.6711409395973154]
0.330000    1.000000    4.300000    15.000000    :    [1.6711409395973154]
0.330000    0.007000    4.700000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    4.100000    15.000000    :    [1.6711409395973154]
0.330000    0.007000    7.000000    15.000000    :    [1.6711409395973154]
0.330000    0.010000    7.000000    15.000000    :    [1.6711409395973154]
0.330000    0.005000    5.000000    15.000000    :    [1.6711409395973154]
0.330000    0.100000    4.600000    15.000000    :    [1.6711409395973154]
0.330000    0.100000    5.000000    15.000000    :    [1.6711409395973154]
0.330000    0.005000    4.500000    15.000000    :    [1.6711409395973154]
0.330000    1.000000    4.500000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    2.000000    15.000000    :    [1.6711409395973154]
0.330000    0.100000    4.500000    15.000000    :    [1.6711409395973154]
0.330000    0.006000    9.000000    15.000000    :    [1.6711409395973154]
0.330000    0.010000    6.000000    15.000000    :    [1.6711409395973154]
0.330000    0.007000    4.500000    15.000000    :    [1.6711409395973154]
0.330000    0.010000    4.600000    15.000000    :    [1.6711409395973154]
0.330000    0.006000    4.300000    15.000000    :    [1.6711409395973154]
0.330000    0.008000    9.000000    15.000000    :    [1.6711409395973154]
0.330000    0.100000    4.100000    15.000000    :    [1.6711409395973154]
0.330000    0.100000    4.700000    15.000000    :    [1.6711409395973154]
0.330000    0.010000    8.000000    15.000000    :    [1.6711409395973154]
0.330000    1.000000    4.100000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    5.000000    15.000000    :    [1.6711409395973154]
0.330000    0.010000    4.100000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    4.200000    15.000000    :    [1.6711409395973154]
0.330000    0.006000    4.000000    15.000000    :    [1.6711409395973154]
0.330000    0.006000    4.100000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    7.000000    15.000000    :    [1.6711409395973154]
0.330000    0.008000    4.500000    15.000000    :    [1.6711409395973154]
0.330000    0.009000    3.000000    15.000000    :    [1.6711409395973154]
0.330000    0.007000    9.000000    15.000000    :    [1.6711409395973154]
0.330000    0.006000    6.000000    15.000000    :    [1.6711409395973154]
